id,name,type,scope
2100,African,CUISINE,Area
2122,American,CUISINE,Area
2152,Asian,CUISINE,Area
2142,Austria,CUISINE,Country
2128,Bangladesh,CUISINE,Country
2143,Belgium,CUISINE,Country
2123,Cajun_Creole,CUISINE,Area
2124,Canada,CUISINE,Country
2112,Caribbean,CUISINE,Area
2113,Central_South_American,CUISINE,Area
2106,Chinese,CUISINE,Country
2107,East_Asian,CUISINE,Area
2101,East_African,CUISINE,Area
2110,Eastern_Europe,CUISINE,Area
2111,Russian,CUISINE,Country
2144,Scottish,CUISINE,Country
2145,French,CUISINE,Country
2146,German,CUISINE,Country
2136,Greek,CUISINE,Country
2129,Indian,CUISINE,Country
2131,Indonesia,CUISINE,Country
2116,Iran,CUISINE,Country
2147,Irish,CUISINE,Country
2117,Israel,CUISINE,Country
2137,Italian,CUISINE,Country
2108,Japanese,CUISINE,Country
2118,Jewish,CUISINE,Area
2109,Korean,CUISINE,Country
2119,Lebanon,CUISINE,Country
2132,Malaysia,CUISINE,Country
2138,Mediterranean,CUISINE,Area
2114,Mexican,CUISINE,Country
2120,Middle_Eastern,CUISINE,Area
2102,Moroccan,CUISINE,Country
2148,Netherlands,CUISINE,Country
2103,North_African,CUISINE,Area
2130,Pakistan,CUISINE,Country
2133,Philippines,CUISINE,Country
2139,Portugal,CUISINE,Country
2127,Scandinavian,CUISINE,Area
2104,South_African,CUISINE,Area
2115,South_America,CUISINE,Area
2125,Southern_SoulFood,CUISINE,Area
2126,Southwestern,CUISINE,Area
2140,Spain,CUISINE,Country
2141,Spanish_Portuguese,CUISINE,Area
2149,Switzerland,CUISINE,Country
2134,Thai,CUISINE,Country
2121,Turkey,CUISINE,Country
2150,UK,CUISINE,Country
2135,Vietnamese,CUISINE,Country
2105,West_African,CUISINE,Area
2151,Western,CUISINE,Area